date,sn,temp,hum,dir,speed,yl,sw
2021/2/26 0:00,226,9,99,1,2,0,83.53
2021/2/26 1:00,226.01,9,98,1,1,0,83.53
2021/2/26 2:00,226.02,9,98,1,2,0,83.52
2021/2/26 3:00,226.03,10,93,1,1,0,83.52
2021/2/26 4:00,226.04,9,100,1,2,0,83.52
2021/2/26 5:00,226.05,9,100,1,3,0,83.52
2021/2/26 6:00,226.06,8,100,1,2,0,83.52
2021/2/26 7:00,226.07,8,100,1,2,0,83.51
2021/2/26 8:00,226.08,8,100,1,2,0,83.5
2021/2/26 9:00,226.09,8,100,1,2,0,83.51
2021/2/26 10:00,226.1,9,100,1,3,0,83.51
2021/2/26 11:00,226.11,9,100,1,2,0,83.51
2021/2/26 12:00,226.12,9,100,1,2,0,83.51
2021/2/26 13:00,226.13,9,100,1,3,0,83.51
2021/2/26 14:00,226.14,9,100,1,2,0.5,83.51
2021/2/26 15:00,226.15,8,100,1,2,1.5,83.51
2021/2/26 16:00,226.16,8,100,1,2,1,83.61
2021/2/26 17:00,226.17,8,100,1,2,2.5,83.65
2021/2/26 18:00,226.18,8,100,1,2,3,83.67
2021/2/26 19:00,226.19,8,100,1,2,7.5,83.69
2021/2/26 20:00,226.2,8,100,1,2,10.5,83.75
2021/2/26 21:00,226.21,8,100,1,1,7.5,83.84
2021/2/26 22:00,226.22,8,100,1,2,4,84.05
2021/2/26 23:00,226.23,9,100,1,2,3,84.12
2021/2/27 0:00,227,8,100,1,2,3,84.13
2021/2/27 1:00,227.01,8,100,1,2,1,84.15
2021/2/27 2:00,227.02,8,100,1,2,1,84.14
2021/2/27 3:00,227.03,8,100,1,2,1.5,84.11
2021/2/27 4:00,227.04,8,100,1,2,1.5,84.09
2021/2/27 5:00,227.05,8,100,1,2,1,84.08
2021/2/27 6:00,227.06,8,100,1,2,0.5,84.07
2021/2/27 7:00,227.07,8,100,1,2,0.5,84.06
2021/2/27 8:00,227.08,8,100,1,2,2,84.05
